x,y,jarvis_20m,elevation
-159.98033710778716,-0.3760413557378573,-5.355730056762695,0-249.99 m
-159.98015739547276,-0.37604137605448273,-5.410289764404297,0-249.99 m
-159.97997768314866,-0.37604139636738493,-5.818570137023926,0-249.99 m
-159.97979797081484,-0.37604141667656393,-5.7293701171875,0-249.99 m
-159.9796182584713,-0.37604143698201953,-5.672110080718994,0-249.99 m
-159.97943854611808,-0.3760414572837519,-5.697319984436035,0-249.99 m
-159.97925883375515,-0.376041477581761,-5.286200046539307,0-249.99 m
-159.97907912138254,-0.37604149787604685,-5.172709941864014,0-249.99 m
-159.9788994090002,-0.3760415181666093,-5.297920227050781,0-249.99 m
-159.97871969660815,-0.3760415384534486,-5.328710079193115,0-249.99 m
-159.97853998420646,-0.3760415587365647,-5.383999824523926,0-249.99 m
-159.97836027179503,-0.37604157901595747,-5.625639915466309,0-249.99 m
-159.97818055937393,-0.3760415992916268,-5.880760192871094,0-249.99 m
-159.97800084694313,-0.37604161956357296,-6.004439830780029,0-249.99 m
-159.97782113450268,-0.37604163983179584,-6.389249801635742,0-249.99 m
-159.9776414220525,-0.37604166009629547,-6.347129821777344,0-249.99 m
-159.97746170959263,-0.37604168035707175,-6.192820072174072,0-249.99 m
-159.9772819971231,-0.3760417006141249,-6.307950019836426,0-249.99 m
-159.97710228464388,-0.37604172086745463,-6.3763298988342285,0-249.99 m
-159.976922572155,-0.3760417411170611,-6.594620227813721,0-249.99 m
-159.9767428596564,-0.37604176136294437,-6.888430118560791,0-249.99 m
-159.97656314714817,-0.3760417816051042,-7.187230110168457,0-249.99 m
-159.97638343463024,-0.3760418018435409,-7.850500106811523,0-249.99 m
-159.97620372210264,-0.37604182207825415,-8.499939918518066,0-249.99 m
-159.97602400956538,-0.37604184230924426,-8.611289978027344,0-249.99 m
-159.97584429701845,-0.37604186253651095,-8.320500373840332,0-249.99 m
-159.97566458446187,-0.37604188276005446,-8.117480278015137,0-249.99 m
-159.9754848718956,-0.37604190297987455,-8.518239974975586,0-249.99 m
-159.97530515931967,-0.37604192319597135,-9.045530319213867,0-249.99 m
-159.97512544673407,-0.37604194340834496,-9.026089668273926,0-249.99 m
-159.97494573413886,-0.3760419636169952,-9.199939727783203,0-249.99 m
-159.97476602153392,-0.3760419838219222,-9.84430980682373,0-249.99 m
-159.97458630891938,-0.37604200402312593,-10.125399589538574,0-249.99 m
-159.97440659629515,-0.37604202422060634,-10.071900367736816,0-249.99 m
-159.9742268836613,-0.3760420444143634,-10.047300338745117,0-249.99 m
-159.9740471710178,-0.37604206460439715,-10.438899993896484,0-249.99 m
-159.97386745836462,-0.37604208479070766,-10.720199584960938,0-249.99 m
-159.9736877457018,-0.37604210497329477,-10.251899719238281,0-249.99 m
-159.97350803302936,-0.3760421251521586,-9.283300399780273,0-249.99 m
-159.97332832034726,-0.3760421453272993,-7.899370193481445,0-249.99 m
-159.97314860765547,-0.3760421654987165,-6.948880195617676,0-249.99 m
-159.97296889495414,-0.37604218566641046,-6.6665802001953125,0-249.99 m
-159.9727891822431,-0.37604220583038106,-6.599999904632568,0-249.99 m
-159.97260946952244,-0.3760422259906285,-6.851990222930908,0-249.99 m
-159.97242975679214,-0.37604224614715254,-7.243450164794922,0-249.99 m
-159.97225004405223,-0.3760422662999532,-7.702290058135986,0-249.99 m
-159.97207033130266,-0.3760422864490306,-8.760740280151367,0-249.99 m
